2025-04-23 Genoa vs Lazio: combined_future_rows=54, features_future_rows=54
2025-04-23 Torino vs Udinese: combined_future_rows=54, features_future_rows=54
2025-04-23 Cagliari vs Fiorentina: combined_future_rows=54, features_future_rows=54
2025-04-27 Atalanta vs Lecce: combined_future_rows=50, features_future_rows=50
2025-04-27 Napoli vs Torino: combined_future_rows=50, features_future_rows=50
2025-04-27 Juventus vs Monza: combined_future_rows=50, features_future_rows=50
2025-04-27 Venezia vs Milan: combined_future_rows=50, features_future_rows=50
2025-04-27 Fiorentina vs Empoli: combined_future_rows=50, features_future_rows=50
2025-04-27 Inter vs Roma: combined_future_rows=50, features_future_rows=50
2025-04-27 Como vs Genoa: combined_future_rows=50, features_future_rows=50
2025-04-28 Verona vs Cagliari: combined_future_rows=43, features_future_rows=43
2025-04-28 Lazio vs Parma: combined_future_rows=43, features_future_rows=43
2025-04-28 Udinese vs Bologna: combined_future_rows=43, features_future_rows=43
2025-05-02 Torino vs Venezia: combined_future_rows=40, features_future_rows=40
2025-05-03 Inter vs Verona: combined_future_rows=39, features_future_rows=39
2025-05-03 Cagliari vs Udinese: combined_future_rows=39, features_future_rows=39
2025-05-03 Parma vs Como: combined_future_rows=39, features_future_rows=39
2025-05-03 Lecce vs Napoli: combined_future_rows=39, features_future_rows=39
2025-05-04 Roma vs Fiorentina: combined_future_rows=35, features_future_rows=35
2025-05-04 Monza vs Atalanta: combined_future_rows=35, features_future_rows=35
2025-05-04 Bologna vs Juventus: combined_future_rows=35, features_future_rows=35
2025-05-04 Empoli vs Lazio: combined_future_rows=35, features_future_rows=35
2025-05-05 Genoa vs Milan: combined_future_rows=31, features_future_rows=31
2025-05-09 Milan vs Bologna: combined_future_rows=30, features_future_rows=30
2025-05-10 Como vs Cagliari: combined_future_rows=29, features_future_rows=29
2025-05-10 Empoli vs Parma: combined_future_rows=29, features_future_rows=29
2025-05-10 Lazio vs Juventus: combined_future_rows=29, features_future_rows=29
2025-05-11 Napoli vs Genoa: combined_future_rows=26, features_future_rows=26
2025-05-11 Torino vs Inter: combined_future_rows=26, features_future_rows=26
2025-05-11 Udinese vs Monza: combined_future_rows=26, features_future_rows=26
2025-05-11 Verona vs Lecce: combined_future_rows=26, features_future_rows=26
2025-05-12 Venezia vs Fiorentina: combined_future_rows=22, features_future_rows=22
2025-05-12 Atalanta vs Roma: combined_future_rows=22, features_future_rows=22
2025-05-17 Genoa vs Atalanta: combined_future_rows=20, features_future_rows=20
2025-05-18 Lecce vs Torino: combined_future_rows=19, features_future_rows=19
2025-05-18 Cagliari vs Venezia: combined_future_rows=19, features_future_rows=19
2025-05-18 Fiorentina vs Bologna: combined_future_rows=19, features_future_rows=19
2025-05-18 Monza vs Empoli: combined_future_rows=19, features_future_rows=19
2025-05-18 Juventus vs Udinese: combined_future_rows=19, features_future_rows=19
2025-05-18 Roma vs Milan: combined_future_rows=19, features_future_rows=19
2025-05-18 Verona vs Como: combined_future_rows=19, features_future_rows=19
2025-05-18 Inter vs Lazio: combined_future_rows=19, features_future_rows=19
2025-05-18 Parma vs Napoli: combined_future_rows=19, features_future_rows=19
2025-05-23 Napoli vs Cagliari: combined_future_rows=10, features_future_rows=10
2025-05-23 Como vs Inter: combined_future_rows=10, features_future_rows=10
2025-05-24 Milan vs Monza: combined_future_rows=8, features_future_rows=8
2025-05-24 Bologna vs Genoa: combined_future_rows=8, features_future_rows=8
2025-05-25 Torino vs Roma: combined_future_rows=6, features_future_rows=6
2025-05-25 Venezia vs Juventus: combined_future_rows=6, features_future_rows=6
2025-05-25 Udinese vs Fiorentina: combined_future_rows=6, features_future_rows=6
2025-05-25 Lazio vs Lecce: combined_future_rows=6, features_future_rows=6
2025-05-25 Empoli vs Verona: combined_future_rows=6, features_future_rows=6
2025-05-25 Atalanta vs Parma: combined_future_rows=6, features_future_rows=6
