season,squad,roster_size,starters_count,age_mean,age_mean_starters,pct_under23,pct_gk,pct_df,pct_mf,pct_fw,goals_tot,assists_tot,xg_tot,xga_proxy,team_xg_per90,conversion_sh_to_g,progressions_tot,yellow_cards,red_cards,top5_mean_gpa,bottom5_mean_gpa,gap_top5_bottom5_gpa,age_std
2010-2011,Roma,29,17.0,27.75862068965517,29.352941176470587,0.13793103448275862,0.10344827586206896,0.4482758620689655,0.4482758620689655,0.896551724137931,57.0,33.0,,,,,0.0,84.0,9.0,12.2,0.0,12.2,4.396875289938405
2010-2011,Sampdoria,30,16.0,24.6,25.375,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.4,0.9333333333333333,32.0,13.0,,,,,0.0,81.0,5.0,5.8,0.0,5.8,3.719473451796731
2010-2011,Udinese,24,14.0,24.666666666666668,25.083333333333332,0.375,0.08333333333333333,0.4583333333333333,0.4166666666666667,0.9166666666666666,65.0,41.0,,,,,0.0,78.0,6.0,15.0,0.0,15.0,4.536486541909668
2011-2012,Atalanta,30,15.0,27.3,26.428571428571427,0.16666666666666666,0.1,0.36666666666666664,0.5,0.9,39.0,22.0,,,,,0.0,101.0,4.0,8.6,0.0,8.6,4.379812623924642
2011-2012,Bologna,27,15.0,25.88888888888889,27.733333333333334,0.2222222222222222,0.07407407407407407,0.37037037037037035,0.5185185185185185,0.9259259259259259,41.0,25.0,,,,,0.0,98.0,4.0,10.2,0.0,10.2,4.585372506748064
2011-2012,Cagliari,25,17.0,25.2,26.058823529411764,0.28,0.08,0.36,0.44,0.92,35.0,20.0,,,,,0.0,82.0,2.0,7.6,0.0,7.6,4.031128874149275
2011-2012,Catania,33,13.0,26.515151515151516,26.923076923076923,0.12121212121212122,0.15151515151515152,0.30303030303030304,0.3939393939393939,0.8484848484848485,46.0,24.0,,,,,0.0,81.0,6.0,8.6,0.0,8.6,3.7426696030475033
2011-2012,Cesena,34,17.0,25.470588235294116,28.5,0.3235294117647059,0.058823529411764705,0.35294117647058826,0.38235294117647056,0.9411764705882353,23.0,10.0,,,,,0.0,101.0,9.0,4.6,0.0,4.6,5.615105677073752
2011-2012,Chievo,26,18.0,27.192307692307693,27.235294117647058,0.11538461538461539,0.07692307692307693,0.46153846153846156,0.38461538461538464,0.9230769230769231,35.0,22.0,,,,,0.0,83.0,1.0,8.2,0.0,8.2,4.20494214722848
2011-2012,Fiorentina,28,15.0,25.357142857142858,26.428571428571427,0.2857142857142857,0.07142857142857142,0.39285714285714285,0.5714285714285714,0.9285714285714286,36.0,22.0,,,,,0.0,94.0,3.0,8.0,0.0,8.0,4.531488887153044
2011-2012,Genoa,29,16.0,25.896551724137932,28.666666666666668,0.1724137931034483,0.034482758620689655,0.41379310344827586,0.6551724137931034,0.9655172413793104,49.0,29.0,,,,,0.0,95.0,11.0,10.4,0.0,10.4,4.378068944720842
2011-2012,Inter,30,18.0,26.866666666666667,28.9375,0.23333333333333334,0.06666666666666667,0.36666666666666664,0.5333333333333333,0.9333333333333333,57.0,39.0,,,,,0.0,65.0,4.0,11.4,0.0,11.4,5.544387241621698
2011-2012,Juventus,25,12.0,27.36,27.083333333333332,0.04,0.08,0.4,0.56,0.92,67.0,45.0,,,,,0.0,68.0,4.0,14.0,0.0,14.0,3.7846179904097768
