Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,source_file,B365H,B365D,B365A,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Bb1X2,B365>2.5,B365<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,imp_H,imp_D,imp_A,imp_over2_5,imp_under2_5,spread_max_avg_H,bookies_count,market_raw_sum,market_vig,imp_B365_H,imp_B365_D,imp_B365_A,imp_imp_diff_H,imp_imp_diff_D,imp_imp_diff_A,odds_spread_H,odds_spread_D,odds_spread_A,has_bookies_1x2
I1,2017-10-15,,Cagliari,Genoa,2,3,A,12,18,7,11,13,14,6,7,2,0,0,0,I8.csv,2.25,3.3,3.3,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.42307692307692313,0.2884615384615385,0.2884615384615385,,,,,,,True
I1,2017-10-15,,Bologna,Spal,2,1,H,14,7,2,2,20,14,2,5,2,2,0,0,I8.csv,1.75,3.5,5.25,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.5454545454545455,0.27272727272727276,0.18181818181818185,,,,,,,True
I1,2017-10-15,,Crotone,Torino,2,2,D,9,21,3,9,15,7,3,8,1,0,0,0,I8.csv,3.75,3.5,2.0,,,,,,,34.0,,,,,,,,,,,,,,34.0,,,0.25339366515837103,0.27149321266968324,0.4751131221719457,,,,,,,True
I1,2017-10-16,,Verona,Benevento,1,0,H,13,8,3,1,15,12,5,3,4,3,0,1,I8.csv,1.91,3.5,4.2,,,,,,,33.0,,,,,,,,,,,,,,33.0,,,0.49988098071887643,0.2727921923351583,0.22732682694596523,,,,,,,True
I1,2017-10-21,,Napoli,Inter,0,0,D,12,11,3,2,9,9,5,7,1,1,0,0,I8.csv,1.61,4.2,5.0,,,,,,,35.0,,,,,,,,,,,,,,35.0,,,0.5863956215793589,0.2247849882720876,0.1888193901485536,,,,,,,True
I1,2017-10-21,,Sampdoria,Crotone,5,0,H,6,8,5,2,11,20,4,0,1,3,0,0,I8.csv,1.53,3.79,7.5,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.6220089411733812,0.2511012348272489,0.12688982399936977,,,,,,,True
I1,2017-10-22,,Udinese,Juventus,2,6,A,11,13,4,5,19,9,1,6,6,3,0,1,I8.csv,7.5,4.5,1.44,,,,,,,35.0,,,,,,,,,,,,,,35.0,,,0.126984126984127,0.21164021164021166,0.6613756613756615,,,,,,,True
I1,2017-10-22,,Spal,Sassuolo,0,1,A,13,12,2,2,18,15,10,3,3,3,0,1,I8.csv,2.6,3.29,2.75,,,,,,,36.0,,,,,,,,,,,,,,36.0,,,0.3655334020160394,0.28887138153243236,0.3455952164515282,,,,,,,True
I1,2017-10-22,,Torino,Roma,0,1,A,5,16,0,5,26,14,0,5,1,1,0,0,I8.csv,3.75,3.6,1.95,,,,,,,35.0,,,,,,,,,,,,,,35.0,,,0.2522231204527081,0.26273241713823764,0.48504446240905413,,,,,,,True
I1,2017-10-22,,Milan,Genoa,0,0,D,18,12,7,2,14,21,5,3,0,2,1,0,I8.csv,1.44,4.33,8.0,,,,,,,35.0,,,,,,,,,,,,,,35.0,,,0.661129263749351,0.2198674687757657,0.11900326747488318,,,,,,,True
